,SH600000,SH600009,SH600015,SH600016,SH600019,SH600028,SH600029,SH600030,SH600031,SH600036,SH600048,SH600050,SH600104,SH600111,SH600132,SH600143,SH600196,SH600276,SH600309,SH600346,SH600406,SH600426,SH600436,SH600438,SH600519,SH600570,SH600584,SH600585,SH600588,SH600600,SH600660,SH600690,SH600703,SH600741,SH600745,SH600763,SH600809,SH600837,SH600887,SH600893,SH600900,SH600999,SH601006,SH601009,SH601088,SH601166,SH601169,SH601318,SH601328,SH601390,SH601398,SH601601,SH601628,SH601668,SH601688,SH601766,SH601857,SH601888,SH601899,SH601919,SH601939,SH601988,SZ000001,SZ000002,SZ000063,SZ000100,SZ000157,SZ000166,SZ000338,SZ000538,SZ000568,SZ000625,SZ000651,SZ000661,SZ000725,SZ000776,SZ000786,SZ000858,SZ000895,SZ000963,SZ002001,SZ002007,SZ002027,SZ002049,SZ002050,SZ002129,SZ002142,SZ002179,SZ002230,SZ002236,SZ002241,SZ002271,SZ002304,SZ002311,SZ002352,SZ002371,SZ300003,SZ300014,SZ300015,SZ300059
2012-11-09,0.02,0.02,0.02,,0.02,0.02,,,,,,0.02,0.02,0.02,,,0.02,,0.02,,,,,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,,,,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,0.02,,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,0.02,0.02,,,0.02,0.02,,,,,0.02,0.02,,,,,0.02,0.02,0.02,,,
2012-11-12,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,,,,0.02,0.02,0.02,,0.02,0.02,,,,0.02,,0.02,0.02,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,0.02,,,,,0.02,0.02,,0.02,0.02,0.02,,,,,,,,,0.02,,,0.02,,,,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,,,0.02,0.02,,,,,0.02,0.02,
2012-11-13,,0.02,0.02,,,,,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,,,,0.02,,,,0.02,0.02,0.02,0.02,,,,,,0.02,,,0.02,0.02,0.02,,,,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,,,,0.02,,,0.02,,,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2012-11-14,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,0.02,,,,,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,,,,0.02,,0.02,0.02,,,0.02,,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,,,0.02,0.02,,0.02,0.02,0.02,,,,,,,,0.02,,0.02,,,0.02,,0.02,0.02,,0.02,,,,,0.02,0.02
2012-11-15,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,,,0.02,,,,,,0.02,0.02,,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,,,0.02,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,,,0.02,,,0.02,,,
2012-11-16,,,0.02,,,,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,,,0.02,,,0.02,0.02,0.02,0.02,,0.02,0.02,,,0.02,0.02,,,,,0.02,0.02,,0.02,0.02,,,0.02,0.02,,,0.02,,0.02,0.02,,,,0.02,,,0.02,,,0.02,0.02,,0.02,0.02,0.02,,0.02,,,,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,0.02,0.02
2012-11-19,,0.02,0.02,0.02,0.02,,,,0.02,,0.02,,,,,0.02,0.02,,0.02,0.02,,,,0.02,,,,0.02,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,,0.02,,0.02,,,0.02,,,,,,0.02,,,0.02,,0.02,,,,0.02,,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,,,0.02,
2012-11-20,,,0.02,,,,,0.02,,,0.02,0.02,,,,0.02,0.02,,,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,0.02,,,,,,0.02,,0.02,0.02,,0.02,,,0.02,,0.02,0.02,0.02,,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,,,,0.02,,,,0.02,0.02,0.02,,0.02,0.02,,,0.02,0.02,,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02
2012-11-21,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,,,,0.02,,,,,0.02,,0.02,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,,,0.02,0.02,,,0.02,0.02,,,0.02,,,,0.02,,0.02,0.02,,,0.02,,,,,0.02,,,,0.02,,,,0.02,0.02,0.02,,0.02,0.02,0.02,,,,0.02,0.02,,0.02,0.02,
2012-11-22,,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02,,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,0.02,,,,0.02,,,,0.02,,,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,0.02,,0.02,,,0.02,,,,,,0.02,,,0.02,0.02,,,0.02,,,0.02,0.02
2012-11-23,0.02,,0.02,0.02,,0.02,0.02,0.02,,,,,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,0.02,,0.02,0.02,0.02,,,,0.02,0.02,,0.02,0.02,,,0.02,,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,,,,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,0.02,,,0.02,,,0.02,,,,,0.02,,,0.02
2012-11-26,0.02,0.02,0.02,,,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,,,,,0.02,,,,0.02,0.02,,,,,,,0.02,0.02,,,,0.02,,0.02,0.02,,0.02,,,,,0.02,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,0.02,,0.02,,,,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
2012-11-27,0.02,,,0.02,0.02,,,,,,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,,0.02,0.02,,0.02,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,0.02,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,,,,,,0.02
2012-11-28,0.02,,0.02,0.02,,,,,,,,0.02,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,,,,0.02,,0.02,,0.02,,0.02,,,,,,0.02,0.02,,,,,,,,,0.02,,,,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,,0.02,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,
2012-11-29,,0.02,,,0.02,,0.02,0.02,,,,0.02,,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,0.02,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,,,,0.02,,0.02,0.02,0.02,,0.02,,,,0.02,,,,,0.02,,,,0.02,,0.02,,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,
2012-11-30,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,,,,,0.02,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,0.02,0.02,,0.02,,0.02,,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,,,0.02,,0.02,,,0.02,,,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,,,,0.02,,,,,0.02,,,0.02
2012-12-03,0.02,0.02,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,,,,0.02,,,0.02,,,0.02,,0.02,0.02,0.02,,,,0.02,,,0.02,0.02,,,,,0.02,,0.02,,0.02,,,0.02,,,0.02,,0.02,0.02,,,,,0.02,0.02,,,,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,,0.02,0.02,,,0.02
2012-12-04,0.02,,,0.02,,,,0.02,0.02,,,,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,,0.02,0.02,,0.02,0.02,,,0.02,0.02,,,,,0.02,,,,0.02,0.02,0.02,0.02,,,,,,,,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,0.02,0.02,,,,0.02,,0.02,,0.02,0.02,,,0.02,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02
2012-12-05,,,,,0.02,0.02,,,0.02,0.02,,,,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,,,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,,0.02,0.02,,0.02,,,,0.02,0.02,,0.02,,,0.02,0.02,,,0.02,0.02,,,0.02,0.02,0.02,,0.02,,0.02,0.02,,,,0.02,0.02,0.02,0.02,,0.02,0.02,,,0.02,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,0.02,,,0.02,,0.02,,0.02,0.02
2012-12-06,,,,0.02,,,,0.02,0.02,,0.02,,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,0.02,0.02,,,0.02,,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,,0.02,,0.02,0.02,0.02,,0.02,,,,,,,,,,,0.02,,
2012-12-07,0.02,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,,,,0.02,,,0.02,,0.02,,,0.02,,,0.02,0.02,,,0.02,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,,,0.02,,,0.02,,,,0.02,,,0.02,0.02,,0.02,,,0.02,0.02,,0.02,,0.02,0.02,,0.02,0.02
2012-12-10,0.02,0.02,,,,0.02,,0.02,,,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,,0.02,,,,,,,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,,,,,,,,0.02,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,,,0.02,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,,0.02,0.02
2012-12-11,0.02,0.02,,,0.02,,,,0.02,0.02,0.02,,,0.02,,,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,,,0.02,,0.02,,,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,,,,,,0.02,0.02,,0.02,0.02,,,0.02,0.02,,0.02,,0.02,,,,,,,0.02,0.02,0.02,,,,,0.02,0.02,0.02,,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02
2012-12-12,,,,0.02,0.02,,0.02,0.02,,,0.02,,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,0.02,0.02,0.02,,,,0.02,,0.02,,,0.02,,0.02,,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,,,,,0.02,,,,,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,,,,0.02,,,,0.02,0.02,,0.02,,0.02
2012-12-13,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02,,0.02,0.02,,,0.02,,0.02,0.02,,,,,,,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,,,,0.02,0.02,,0.02,,,0.02,0.02,0.02,,,,0.02,,,0.02,,,
2012-12-14,,0.02,,0.02,,0.02,0.02,,,0.02,,0.02,,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,,,,,,0.02,0.02,,,,0.02,0.02,0.02,,0.02,0.02,,,0.02,,0.02,0.02,,,0.02,,0.02,,0.02,,,0.02,0.02,,,0.02,,0.02,,,,,,0.02,,,0.02,,0.02,0.02,,0.02,,,,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,,,0.02
2012-12-17,0.02,,,,0.02,,0.02,0.02,0.02,,0.02,,0.02,0.02,,0.02,0.02,,,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,,,,,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,,,,,0.02,0.02,,,0.02,0.02,0.02,,0.02,,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,0.02,,0.02
2012-12-18,,0.02,0.02,,,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,,0.02,,,0.02,,0.02,,0.02,,,0.02,0.02,0.02,,,,0.02,0.02,,0.02,0.02,,,0.02,,,,,0.02,0.02,,0.02,0.02,,,0.02,,,,0.02,,,,0.02,,,0.02,,0.02,0.02,,0.02,,
2012-12-19,0.02,0.02,0.02,0.02,,0.02,0.02,,,,,0.02,,0.02,,0.02,,0.02,0.02,,,,0.02,,,,0.02,0.02,0.02,0.02,,0.02,0.02,,,0.02,,,,,,,,,0.02,0.02,,0.02,0.02,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,,,,,,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,,,,0.02,,0.02,,0.02,,0.02
2012-12-20,0.02,,0.02,,0.02,,0.02,,0.02,,,0.02,0.02,,,0.02,,,,,,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,,,,0.02,0.02,,0.02,0.02,,,0.02,0.02,,0.02,,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,0.02,0.02,,,,,,0.02,0.02,,,,0.02,,,0.02,,0.02,0.02,0.02,0.02,
2012-12-21,,,,0.02,,,,0.02,,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,,,,,0.02,,,0.02,,,,,,,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,,0.02,,0.02,0.02,,0.02,,,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,,,,0.02,0.02,0.02,,0.02,0.02
2012-12-24,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,,,0.02,,,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,,0.02,,,,0.02,,0.02,,,,0.02,,,,,,0.02,0.02,,,0.02,,0.02,0.02,,0.02,,0.02
2012-12-25,,,0.02,,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,,0.02,0.02,,,,,0.02,0.02,0.02,,,,0.02,,0.02,,,0.02,,,0.02,,,,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,,,,0.02,,0.02,,,0.02,,0.02,0.02,,0.02,,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02
2012-12-26,,,0.02,,,0.02,0.02,0.02,,0.02,,,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,,,0.02,,,,,,,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,0.02,,,,,,0.02,,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,,,0.02
2012-12-27,,,0.02,,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,,0.02,,,,,0.02,,0.02,0.02,0.02,,,,,,0.02,0.02,,,0.02,0.02,0.02,0.02,,,,,0.02,,0.02,0.02,,0.02,,,,,0.02,,,0.02,0.02,,,0.02,0.02,,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,,0.02,,0.02,,0.02,,0.02,0.02,,,0.02,,0.02
2012-12-28,,0.02,,,0.02,,0.02,,,0.02,,0.02,,0.02,0.02,,,0.02,,,,,0.02,,0.02,,,0.02,,,,0.02,0.02,,0.02,,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,0.02,,0.02,,0.02,,,0.02,,0.02,,,0.02,,0.02,,,0.02,0.02,,,0.02,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,0.02,0.02,0.02
2012-12-31,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,,,,,0.02,,,,0.02,,,0.02,,,,,0.02,0.02,,,,0.02,,,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,,,,,,0.02,,0.02,0.02,,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,,,
2013-01-04,,,,0.02,,,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,,,,,0.02,,0.02,,0.02,,,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,,0.02,0.02,0.02,0.02,,0.02,0.02,,,,0.02,,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,,,
2013-01-07,,,,0.02,,0.02,0.02,,,,,,,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,,,,,,0.02,,,,0.02,,,,0.02,0.02,,0.02,,,,,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,0.02,,,0.02,,,0.02,0.02,,,,,0.02,0.02,0.02,0.02,,0.02
2013-01-08,0.02,,,0.02,,0.02,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,,0.02,,,0.02,0.02,,,,0.02,,,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,,,,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,,0.02,0.02,,,0.02,0.02,,,,0.02,,,0.02,,,0.02,,,0.02,,
2013-01-09,0.02,,0.02,,0.02,,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,,,,,,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,,,,0.02,0.02,,0.02,0.02,0.02,0.02,,,0.02,,0.02,,0.02,,,,,0.02,0.02,,,0.02,0.02,,,,,0.02,,0.02,,,0.02,
2013-01-10,,,,,,0.02,0.02,,,0.02,,0.02,0.02,0.02,,,,,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,,,,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,,,,,0.02,,0.02,0.02,0.02,,,0.02,0.02,,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,,,,,,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02
2013-01-11,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.02,,,,0.02,0.02,0.02,0.02,,,,,,0.02,,,0.02,,,,0.02,0.02,,,,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,,,,0.02,0.02,0.02,,0.02,,,,,,0.02,0.02,0.02,,,0.02,,,,,0.02,0.02,0.02,,,0.02,,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,
2013-01-14,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,,,,,,0.02,0.02,0.02,,,0.02,,,0.02,0.02,,,0.02,,0.02,,0.02,,,,,0.02,,,,0.02,0.02,,,0.02,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,,,0.02,0.02,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,,,0.02,,0.02,,0.02,,0.02,,0.02,0.02
2013-01-15,0.02,0.02,,,,0.02,,,,,0.02,,,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,,,0.02,0.02,0.02,,,,0.02,,,,,0.02,0.02,,0.02,,,,,0.02,0.02,,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,0.02,0.02,,0.02,,,0.02,0.02,,,,0.02,,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,
2013-01-16,,0.02,0.02,,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,,,,0.02,,0.02,,,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,0.02,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,,,,,0.02,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.02,,,,0.02,0.02,0.02,,,0.02,0.02,0.02,
2013-01-17,0.02,0.02,,,,,,0.02,,,,,,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,0.02,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,,,,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,,,,,,,0.02,,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,,0.02,,0.02,0.02,0.02,,,0.02
2013-01-18,0.02,0.02,,0.02,,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,,0.02,,0.02,,,,0.02,0.02,,0.02,,,,,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,0.02,,,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,,,0.02,,,0.02,,0.02,,0.02,,,0.02,,0.02,,0.02,,,,
2013-01-21,0.02,0.02,,0.02,,0.02,,,0.02,,,0.02,0.02,,0.02,0.02,,,,,0.02,,,,0.02,,0.02,,0.02,,0.02,,,,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,,,0.02,0.02,,0.02,,,,0.02,0.02,0.02,,,,0.02,,,0.02,,0.02,0.02,,0.02,,0.02,,,0.02,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,,,0.02
2013-01-22,0.02,0.02,,,0.02,0.02,,0.02,,0.02,0.02,,,0.02,0.02,,,,0.02,,,0.02,,,,0.02,0.02,0.02,,,,,0.02,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,,0.02,0.02,,,,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,,0.02,,0.02,,,,0.02,,0.02,,,,,0.02,0.02,,0.02
2013-01-23,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,,0.02,0.02,,0.02,,,0.02,0.02,,,,,,,,,0.02,,0.02,,,0.02,,,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,,,,,0.02,,0.02,0.02,,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,,0.02,,,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,0.02
2013-01-24,,,,0.02,,0.02,,0.02,,0.02,,0.02,,,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,,,0.02,,,0.02,0.02,,,0.02,,0.02,,0.02,0.02,,,0.02,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,,,0.02,0.02,,
